#,name,type1,color,type2,total,hp,attack,defence,sp atk,sp def,speed,generation,legendary,strong against,weak against,other,evol level,evol cond,shape,height,weight
15,BeedrillMega Beedrill,Bug,Yellow,Poison,495,65,150,40,15,80,145,1,Not Legendary,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,quadruped,7,185
16,Pidgey,Normal,Brown,Flying,251,40,45,40,35,35,56,1,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",18,None,wings,3,20
17,Pidgeotto,Normal,Brown,Flying,349,63,60,55,50,50,71,1,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",36,None,wings,12,380
18,Pidgeot,Normal,Brown,Flying,479,83,80,75,70,70,101,1,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A,squiggle,20,69
18,PidgeotMega Pidgeot,Normal,Brown,Flying,579,83,80,80,135,80,121,1,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A,squiggle,35,650
19,Rattata,Normal,Purple,,253,30,56,35,25,35,72,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,20,None,quadruped,4,60
20,Raticate,Normal,Brown,,413,55,81,60,50,70,97,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,upright,8,300
21,Spearow,Normal,Brown,Flying,262,40,60,30,31,31,70,1,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",20,None,upright,6,120
22,Fearow,Normal,Brown,Flying,442,65,90,65,61,61,100,1,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A,upright,10,295
23,Ekans,Poison,Purple,,288,35,60,44,40,54,55,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,22,None,quadruped,4,70
24,Arbok,Poison,Purple,,438,60,85,69,65,79,80,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A,quadruped,8,200
25,Pikachu,Electric,Yellow,,320,35,55,40,50,50,90,1,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,upright,13,600
26,Raichu,Electric,Yellow,,485,60,90,55,90,80,110,1,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,quadruped,5,90
27,Sandshrew,Ground,Brown,,300,50,75,85,20,30,40,1,Not Legendary,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,22,None,quadruped,9,195
28,Sandslash,Ground,Brown,,450,75,100,110,45,55,65,1,Not Legendary,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A,upright,14,620
29,Nidoran female,Poison,Blue,,275,55,47,52,40,40,41,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A,upright,6,75
30,Nidorina,Poison,Blue,,365,70,62,67,55,55,56,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A,upright,13,400
31,Nidoqueen,Poison,Blue,Ground,505,90,92,87,75,85,76,1,Not Legendary,"Fairy, Grass, Electric, Fire, Poison, Rock, Steel","Ground, Psychic, Grass, Ice, Water","Not Effective Against Steel, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,quadruped,6,99
32,Nidoran male,Poison,Purple,,273,57,40,40,40,50,41,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A,quadruped,11,199
33,Nidorino,Poison,Purple,,365,61,72,57,55,55,65,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A,humanoid,5,55
34,Nidoking,Poison,Purple,Ground,505,81,102,77,85,75,85,1,Not Legendary,"Fairy, Grass, Electric, Fire, Poison, Rock, Steel","Ground, Psychic, Grass, Ice, Water","Not Effective Against Steel, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,humanoid,10,120
35,Clefairy,Fairy,Pink,,323,70,45,48,60,65,35,1,Not Legendary,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A,wings,8,75
36,Clefable,Fairy,Pink,,483,95,70,73,95,90,60,1,Not Legendary,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A,wings,16,550
37,Vulpix,Fire,Red,,299,38,41,40,50,65,65,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,legs,5,54
38,Ninetales,Fire,White,,505,73,76,75,81,100,100,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,humanoid,8,86
39,Jigglypuff,Normal,Pink,Fairy,270,115,45,20,45,25,20,1,Not Legendary,"None, Dark, Dragon, Fighting","Fighting, Poison, Steel","Immune to Ghost; Not Effective Against Ghost, Immune to Dragon",#N/A,#N/A,humanoid,12,186
40,Wigglytuff,Normal,Pink,Fairy,435,140,70,45,85,50,45,1,Not Legendary,"None, Dark, Dragon, Fighting","Fighting, Poison, Steel","Immune to Ghost; Not Effective Against Ghost, Immune to Dragon",#N/A,#N/A,armor,3,54
41,Zubat,Poison,Purple,Flying,245,40,45,35,30,40,55,1,Not Legendary,"Fairy, Grass, Bug, Fighting, Grass","Ground, Psychic, Electric, Ice, Rock","Not Effective Against Steel, Immune to Ground",22,None,armor,10,295
42,Golbat,Poison,Purple,Flying,455,75,80,70,65,75,90,1,Not Legendary,"Fairy, Grass, Bug, Fighting, Grass","Ground, Psychic, Electric, Ice, Rock","Not Effective Against Steel, Immune to Ground",#N/A,#N/A,humanoid,10,300
43,Oddish,Grass,Purple,Poison,320,45,50,55,75,65,30,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",21,None,bug-wings,15,125
44,Gloom,Grass,Purple,Poison,395,60,65,70,85,75,40,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,blob,2,8
45,Vileplume,Grass,Purple,Poison,490,75,80,85,110,90,50,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,heads,7,333
46,Paras,Bug,Orange,Grass,285,35,70,55,45,55,25,1,Not Legendary,"Dark, Grass, Psychic, Ground, Rock, Water","Fire, Flying, Rock, Bug, Fire, Flying, Ice, Poison","nan, nan",24,None,quadruped,4,42
47,Parasect,Bug,Orange,Grass,405,60,95,80,60,80,30,1,Not Legendary,"Dark, Grass, Psychic, Ground, Rock, Water","Fire, Flying, Rock, Bug, Fire, Flying, Ice, Poison","nan, nan",#N/A,#N/A,quadruped,10,320
48,Venonat,Bug,Purple,Poison,305,60,55,50,40,55,45,1,Not Legendary,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",31,None,upright,8,196
49,Venomoth,Bug,Purple,Poison,450,70,65,60,90,75,90,1,Not Legendary,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,upright,17,766
50,Diglett,Ground,Brown,,265,10,55,25,35,45,95,1,Not Legendary,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,26,None,upright,5,280
51,Dugtrio,Ground,Brown,,405,35,80,50,50,70,120,1,Not Legendary,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A,upright,10,320
52,Meowth,Normal,White,,290,40,45,35,40,40,90,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,28,None,quadruped,7,190
53,Persian,Normal,White,,440,65,70,60,65,65,115,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,quadruped,19,1550
54,Psyduck,Water,Yellow,,320,50,52,48,65,50,55,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,33,None,legs,6,124
55,Golduck,Water,Blue,,500,80,82,78,95,80,85,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,humanoid,10,200
56,Mankey,Fighting,White,,305,40,80,35,35,45,70,1,Not Legendary,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,28,None,humanoid,13,540
57,Primeape,Fighting,White,,455,65,105,60,60,70,95,1,Not Legendary,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A,upright,9,195
58,Growlithe,Fire,Orange,,350,55,70,45,70,50,60,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,upright,13,565
59,Arcanine,Fire,Orange,,555,90,110,80,100,80,95,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,humanoid,15,480
60,Poliwag,Water,Blue,,300,40,50,40,40,40,90,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,25,None,upright,8,195
61,Poliwhirl,Water,Blue,,385,65,65,65,50,50,90,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,humanoid,15,705
62,Poliwrath,Water,Blue,Fighting,510,90,95,95,70,90,70,1,Not Legendary,"Fire, Ground, Rock, Dark, Ice, Normal, Rock, Steel","Electric, Grass, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A,humanoid,16,1300
63,Abra,Psychic,Yellow,,310,25,20,15,105,55,90,1,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,16,None,humanoid,7,40
64,Kadabra,Psychic,Yellow,,400,40,35,30,120,70,105,1,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,blob,10,64
65,Alakazam,Psychic,Yellow,,500,55,50,45,135,95,120,1,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,blob,17,155
65,AlakazamMega Alakazam,Psychic,Yellow,,590,55,50,65,175,95,150,1,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,tentacles,9,455
66,Machop,Fighting,Blue,,305,70,80,50,35,35,35,1,Not Legendary,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,28,None,tentacles,16,550
67,Machoke,Fighting,Blue,,405,80,100,70,50,60,45,1,Not Legendary,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A,arms,4,200
68,Machamp,Fighting,Blue,,505,90,130,80,65,85,55,1,Not Legendary,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A,humanoid,10,1050
69,Bellsprout,Grass,Yellow,Poison,300,50,75,35,70,30,40,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",21,None,humanoid,14,3000
70,Weepinbell,Grass,Yellow,Poison,390,65,90,50,85,45,55,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,quadruped,10,300
71,Victreebel,Grass,Yellow,Poison,490,80,105,65,100,70,70,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,quadruped,17,950
72,Tentacool,Water,Blue,Poison,335,40,40,35,50,100,70,1,Not Legendary,"Fire, Ground, Rock, Fairy, Grass","Electric, Grass, Ground, Psychic","nan, Not Effective Against Steel",30,None,quadruped,12,360
73,Tentacruel,Water,Blue,Poison,515,80,70,65,80,120,100,1,Not Legendary,"Fire, Ground, Rock, Fairy, Grass","Electric, Grass, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,upright,16,785
74,Geodude,Rock,Grey,Ground,300,40,80,100,30,30,20,1,Not Legendary,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",25,None,arms,3,60
75,Graveler,Rock,Grey,Ground,390,55,95,115,45,45,35,1,Not Legendary,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,heads,10,600
76,Golem,Rock,Grey,Ground,495,80,120,130,55,65,45,1,Not Legendary,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,wings,8,150
77,Ponyta,Fire,White,,410,50,85,55,65,65,90,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,40,None,legs,14,392
78,Rapidash,Fire,White,,500,65,100,70,80,80,105,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,legs,18,852
79,Slowpoke,Water,Pink,Psychic,315,90,65,65,40,40,15,1,Not Legendary,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",37,None,fish,11,900
80,Slowbro,Water,Pink,Psychic,490,95,75,110,100,80,30,1,Not Legendary,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A,fish,17,1200
80,SlowbroMega Slowbro,Water,Pink,Psychic,590,95,75,180,130,80,30,1,Not Legendary,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A,arms,9,300
81,Magnemite,Electric,Grey,Steel,325,25,35,70,95,55,45,1,Not Legendary,"Flying, Water, Fairy, Ice, Rock","Ground, Fight, Fire, Ground","Not Effective Against Ground, Immune to Poison",30,None,arms,12,300
82,Magneton,Electric,Grey,Steel,465,50,60,95,120,70,70,1,Not Legendary,"Flying, Water, Fairy, Ice, Rock","Ground, Fight, Fire, Ground","Not Effective Against Ground, Immune to Poison",#N/A,#N/A,ball,3,40
83,Farfetch'd,Normal,Brown,Flying,352,52,65,55,58,62,60,1,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A,ball,15,1325
84,Doduo,Normal,Brown,Flying,310,35,85,45,35,35,75,1,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",31,None,ball,13,1
85,Dodrio,Normal,Brown,Flying,460,60,110,70,60,60,100,1,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A,arms,16,1
86,Seel,Water,White,,325,65,45,55,45,70,45,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,34,None,upright,15,405
87,Dewgong,Water,White,Ice,475,90,70,80,70,95,70,1,Not Legendary,"Fire, Ground, Rock, Dragon, Flying, Grass, Ground","Electric, Grass, Fighting, Fire, Rock, Steel","nan, nan",#N/A,#N/A,squiggle,88,2100
88,Grimer,Poison,Purple,,325,80,80,50,40,50,25,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,38,None,humanoid,10,324
89,Muk,Poison,Purple,,500,105,105,75,65,100,50,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A,humanoid,16,756
90,Shellder,Water,Purple,,305,30,65,100,45,25,40,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,armor,4,65
91,Cloyster,Water,Purple,Ice,525,50,95,180,85,45,70,1,Not Legendary,"Fire, Ground, Rock, Dragon, Flying, Grass, Ground","Electric, Grass, Fighting, Fire, Rock, Steel","nan, nan",#N/A,#N/A,armor,13,600
92,Gastly,Ghost,Purple,Poison,310,30,35,30,100,35,80,1,Not Legendary,"Ghost, Psychic, Fairy, Grass","Dark, Ghost, Ground, Psychic","Immune to fight, Normal; Not Effective Against Normal, Not Effective Against Steel",25,None,ball,5,104
93,Haunter,Ghost,Purple,Poison,405,45,50,45,115,55,95,1,Not Legendary,"Ghost, Psychic, Fairy, Grass","Dark, Ghost, Ground, Psychic","Immune to fight, Normal; Not Effective Against Normal, Not Effective Against Steel",#N/A,#N/A,ball,12,666
94,Gengar,Ghost,Purple,Poison,500,60,65,60,130,75,110,1,Not Legendary,"Ghost, Psychic, Fairy, Grass","Dark, Ghost, Ground, Psychic","Immune to fight, Normal; Not Effective Against Normal, Not Effective Against Steel",#N/A,#N/A,heads,4,25
94,GengarMega Gengar,Ghost,Purple,Poison,600,60,65,80,170,95,130,1,Not Legendary,"Ghost, Psychic, Fairy, Grass","Dark, Ghost, Ground, Psychic","Immune to fight, Normal; Not Effective Against Normal, Not Effective Against Steel",#N/A,#N/A,legs,20,1200
95,Onix,Rock,Grey,Ground,385,35,45,160,30,45,70,1,Not Legendary,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,upright,4,65
96,Drowzee,Psychic,Yellow,,328,60,48,45,43,90,42,1,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,26,None,upright,10,450
97,Hypno,Psychic,Yellow,,483,85,73,70,73,115,67,1,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,humanoid,15,498
98,Krabby,Water,Orange,,325,30,105,90,25,25,50,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,28,None,humanoid,14,502
99,Kingler,Water,Orange,,475,55,130,115,50,50,75,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,upright,12,655
100,Voltorb,Electric,Red,,330,40,30,50,55,55,100,1,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,30,None,ball,6,10
101,Electrode,Electric,White,,480,60,50,70,80,80,140,1,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,heads,12,95
102,Exeggcute,Grass,Pink,Psychic,325,60,40,80,60,45,40,1,Not Legendary,"Ground, Rock, Water, Fight, Poison","Bug, Fire, Flying, Ice, Poison, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A,quadruped,10,1150
103,Exeggutor,Grass,Brown,Psychic,520,95,95,85,125,65,55,1,Not Legendary,"Ground, Rock, Water, Fight, Poison","Bug, Fire, Flying, Ice, Poison, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A,upright,19,1200
104,Cubone,Ground,Brown,,320,50,50,95,40,50,35,1,Not Legendary,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,28,None,upright,11,346
105,Marowak,Ground,Brown,,425,60,80,110,50,80,45,1,Not Legendary,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A,legs,10,350
106,Hitmonlee,Fighting,Brown,,455,50,120,53,35,110,87,1,Not Legendary,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A,upright,22,800
107,Hitmonchan,Fighting,Brown,,455,50,105,79,35,110,76,1,Not Legendary,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A,blob,4,80
108,Lickitung,Normal,Pink,,385,90,55,75,60,75,30,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,blob,12,250
109,Koffing,Poison,Purple,,340,40,65,95,60,45,35,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,35,None,fish,6,150
110,Weezing,Poison,Purple,,490,65,90,120,85,70,60,1,Not Legendary,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A,fish,13,390
111,Rhyhorn,Ground,Grey,Rock,345,80,85,95,30,30,25,1,Not Legendary,"Electric, Fire, Poison, Rock, Steel, Bug, Fire, Flying, Ice","Grass, Ice, Water, Fight, Grass, Ground, Steel, Water","Immune to Electric; Not Effective Against Flying, nan",42,None,blob,8,345
112,Rhydon,Ground,Grey,Rock,485,105,130,120,45,45,40,1,Not Legendary,"Electric, Fire, Poison, Rock, Steel, Bug, Fire, Flying, Ice","Grass, Ice, Water, Fight, Grass, Ground, Steel, Water","Immune to Electric; Not Effective Against Flying, nan",#N/A,#N/A,blob,11,800
113,Chansey,Normal,Pink,,450,250,5,5,35,105,50,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,humanoid,13,545
114,Tangela,Grass,Blue,,435,65,55,115,100,40,60,1,Not Legendary,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A,bug-wings,15,560
115,Kangaskhan,Normal,Brown,,490,105,95,80,40,80,90,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,humanoid,14,406
115,KangaskhanMega Kangaskhan,Normal,Brown,,590,105,125,100,60,100,100,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,upright,11,300
116,Horsea,Water,Blue,,295,30,40,70,70,25,60,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,32,None,upright,13,445
117,Seadra,Water,Blue,,440,55,65,95,95,45,85,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,humanoid,15,550
118,Goldeen,Water,White,,320,45,67,60,35,50,63,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,33,None,quadruped,14,884
119,Seaking,Water,Orange,,450,80,92,65,65,80,68,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,fish,9,100
120,Staryu,Water,Brown,,340,30,45,55,70,55,85,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,squiggle,65,2350
121,Starmie,Water,Purple,Psychic,520,60,75,85,100,85,115,1,Not Legendary,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A,fish,25,2200
122,Mr. Mime,Psychic,Pink,Fairy,460,40,45,65,100,120,90,1,Not Legendary,"Fight, Poison, Dark, Dragon, Fighting","Bug, Dark, Ghost, Poison, Steel","Not Effective Against Dark, Immune to Dragon",#N/A,#N/A,ball,3,40
